Position,Players,PPG,RPG,APG,SPG,BPG,FGM,FGA,FG %,2PM,2PA,2PT%,3PM,3PA,3PT %,FTM,Scoring Rating,Rebound Rating,Assist Rating,Steal Rating,Block Rating,Efficiency Rating,2-Pointer Rating,3-Poimter Rating,Overall Rating
SF,Bojan Bogdanovic,10.9,2.1,2.2,0.4,0.4,4,4.7,85.31%,1.8,2,88.31%,2.2,2.6,83.00%,0.2,9.14,6.76,7.1,3.36,3.36,7.64,4.94,12.95,27.62
PG,Markelle Fultz,9.2,1.8,4.1,1.5,0.3,3,3.4,88.70%,1,1,97.06%,2,2.4,85.19%,0.3,8.2,7.06,10.37,7.35,3.24,5.77,2.94,10.29,27.61
SG,Mitch Ritchmond,10.6,1.8,3.1,0.8,0.3,4.1,5,80.66%,1.6,1.8,92.19%,2.4,3.3,74.36%,0.1,8.29,6.65,8.86,5.21,2.92,7.8,4.72,10.7,27.57
PF,Hot Rod Williams,6,4.3,3.1,0.1,1.8,2.7,2.9,90.79%,2.4,2.6,94.03%,0.2,0.3,66.67%,0.7,6.03,12.38,11.15,1.01,11.06,5.1,7.12,1.28,27.57
SF,Jalen Rose,10.3,1.5,2.3,0.8,0.5,4.1,4.7,87.14%,2.4,2.6,93.51%,1.7,2.1,79.37%,0.4,9.02,4.98,7.58,5.75,3.5,7.82,7.01,9.45,27.56
C,Kevin Love,7.8,3.8,2,0.4,1.3,3.1,3.7,83.56%,1.7,1.8,94.52%,1.3,1.8,72.60%,0.4,6.62,9.5,7.9,4.25,6.63,5.87,5.1,9.16,27.51
C,Boban Marjanovic,5.8,6.3,1.9,0.1,2.5,2.6,3.3,79.12%,2.1,2.4,86.76%,0.5,0.8,56.52%,0.1,4.52,15.71,7.43,1.43,12.5,4.95,5.71,2.5,27.37
SF,Gerald Wilkins,10.4,2.2,2.4,0.6,0.3,4.3,5.2,82.35%,2.7,3.2,83.20%,1.6,2,81.01%,0.4,8.69,7.08,7.83,4.42,1.92,8.28,6.93,9.5,27.33
PG,Facundo Alvarado,6,1.3,5.3,2.9,0.4,2.4,3,79.63%,1.2,1.5,81.48%,1.2,1.5,77.78%,0.1,4.63,5.33,13.19,14.44,3.89,4.59,3.11,5.4,27.3
C,Manute Bol,7.2,4.4,2.3,0.5,1.6,2.9,4,76.92%,2.3,3.2,71.30%,0.6,0.8,76.92%,0.8,6.28,11,9.2,5,8,5.58,5.15,4.32,27.27
PF,Zach Randolph,8.5,4.5,2.4,0.4,0.7,3.7,5,74.00%,3.1,3.5,88.57%,0.6,1.5,40.00%,0.5,6.63,12.94,8.7,3.5,4.38,7.12,8.58,2,26.92
C,Moses Brown,6.3,5.7,1.8,0.1,2.2,2.8,3.2,87.67%,2.5,2.8,89.23%,0.3,0.3,75.00%,0.3,5.56,14.35,7.13,1.3,11.09,5.35,7.03,1.86,26.84
SG,Moses Moody,11.3,2.2,2.2,0.5,0.1,4.3,5.1,85.04%,2,2.3,86.96%,2.3,2.8,80.28%,0.1,9.29,7.98,6.33,3.13,0.88,8.27,6.79,10.99,26.82
PG,Theo Maledon,6.7,1.7,4.1,2.2,0.3,2.6,2.8,90.54%,1,1.2,87.10%,1.5,1.7,93.02%,0,5.75,6.62,10.19,11.15,3.46,4.96,2.83,8.52,26.74
SG,Josh Richardson,11.7,1.3,2.1,0.5,0.5,4.3,5.3,81.01%,1.3,1.3,97.44%,3,4,75.63%,0.1,9.21,4.71,6.13,3.33,4.38,8.21,3.86,13.51,26.67
PF,Dennis Rodman,4,8.4,2.7,0.2,0.9,1.7,2.2,77.38%,1.6,1.9,86.11%,0.1,0.3,25.00%,0.5,3.58,24.21,9.92,1.84,5.76,3.29,4.39,0.16,26.58
PF,Charles Oakley,5.8,4.9,1.8,0.3,1.8,2.7,3,89.86%,2.5,2.7,92.59%,0.2,0.3,57.14%,0.2,5.22,14.09,6.53,2.63,11.25,5.19,7.23,0.95,26.54
PF,Elvin Hayes,7.3,4.9,2.4,0.4,0.8,3.5,4.8,72.81%,3.1,3.9,78.72%,0.4,0.8,45.00%,1,6.32,14.02,8.76,3.28,4.95,6.65,7.59,1.41,26.48
SG,Miles Bridges,10.8,1.6,2.4,0.8,0.2,4.2,4.8,86.21%,2.2,2.4,90.91%,1.9,2.4,81.40%,0.4,9.35,5.64,7.03,5.21,1.94,8.01,6.31,9.42,26.46
SG,Anferee Simons,12.3,1,1.5,0.7,0.2,4.3,5,82.59%,0.8,0.5,169.39%,3.5,4.5,76.80%,0.2,9.96,4,3.75,3.5,2,8.27,5.49,15.86,26.41
SF,Xavier McDaniel,8.7,2.9,2.3,0.4,0.8,3.6,4.3,84.97%,2.6,3,86.67%,1,1.3,76.09%,0.3,7.43,9.43,7.48,3,6,6.92,7.04,5.44,26.36
PG,Facundo Campazzo,8.3,1.4,4.6,2,0.3,3.2,5,66.42%,1.6,2.8,55.32%,1.6,2.2,75.41%,0.3,5.62,5.6,11.5,10,3,6.15,3.37,7.36,26.3
PF,Richard Dumas,9.2,1.9,1.8,0.5,0.5,3.7,4.2,87.05%,2,2.2,90.41%,1.7,2,83.33%,0.2,7.98,5.49,6.37,4.77,3.22,7.05,5.65,11.57,26.05
SF,Desmond Bane,10.2,2.2,1.7,0.7,0.3,3.9,5,78.95%,1.6,1.7,92.31%,2.3,3.3,72.00%,0,7.72,7.21,5.51,5.54,1.96,7.53,4.52,12.07,26.03
SF,Andrew Wiggins,10.3,2,2.3,0.3,0.3,3.9,4.4,88.24%,1.9,2,95.00%,2,2.4,80.36%,0.1,8.8,6.5,7.48,2.25,2.25,7.5,5.64,11.48,25.95
PG,Nico Mannion,5.7,1,4.2,3.1,0.2,2.3,2.6,87.69%,0.8,0.8,100.00%,1.5,1.8,82.61%,0,4.77,4,10.5,15.5,2,4.42,3.13,7.38,25.85
SG,Demar DeRozan,9.7,2.3,2.5,1,0.1,3.3,4,85.96%,1.3,1.7,75.14%,2,2.3,88.10%,0.3,8.37,8.34,7.19,6.25,0.88,6.35,3.82,10.49,25.83
SG,Danny Green,9.1,1.1,2.6,1,0.5,3.3,3.7,89.93%,0.7,0.8,96.55%,2.6,2.9,88.18%,0,7.87,3.82,7.34,6.09,4.61,6.33,2.22,13.4,25.83
PG,Tyler Herro,7.9,1.8,3.2,1.5,0.6,2.9,3.7,79.28%,0.9,1.1,82.35%,2,2.6,77.92%,0,5.98,7.07,7.92,7.5,5.67,5.64,2.4,9.28,25.72
C,Artis Gilmore,4,6,2.1,0.3,2.3,1.9,2,95.56%,1.9,2,95.00%,0,0,0.00%,0.3,4.02,15,8.4,3,11.5,3.65,5.64,0,25.61
SG,David Thompson,9.1,1.7,2.3,0.8,0.3,3.9,4.6,85.71%,2.5,2.7,92.59%,1.4,1.9,71.05%,0.5,8.07,6.16,6.61,5,2.63,7.5,9.04,5.92,25.47
SF,Dorian Finney Smith,8.3,2.9,2.4,0.2,0.7,3.2,3.8,85.83%,1.6,1.7,92.73%,1.6,2,80.00%,0.1,6.87,9.45,7.72,1.41,5.39,6.19,4.62,9.29,25.46
SG,Bevin Dooker,9.3,1.9,3.3,0.9,0.2,3.4,4.5,76.70%,1.3,1.5,86.67%,2.1,3,72.06%,0.2,7.06,6.89,9.49,5.63,1.75,6.54,4.4,9.01,25.38
SG,Nassir Little,8.8,1.9,2.3,1.1,0.3,3.7,4,90.83%,2.6,2.6,97.18%,1.1,1.4,78.95%,0.2,7.89,6.98,6.5,6.94,2.27,7.05,7.76,5.22,25.3
PG,Devonte Graham,9.5,0.7,3.7,1.8,0,3.5,4.2,83.65%,1.2,1.4,88.24%,2.3,2.8,81.43%,0.3,7.92,2.88,9.2,9,0.4,6.69,3.31,11.05,25.22
PF,Chris Webber,7.2,2.3,3.3,0.9,0.5,2.9,4,75.68%,2.3,3.2,71.03%,0.6,0.8,78.26%,0.8,6.19,6.61,11.96,7.88,3.13,5.58,5.06,4.04,25.22
C,Enes Kanter,6.2,5,2.3,0.2,1.5,2.7,3.1,86.79%,2.6,3,86.67%,0.1,0.1,100.00%,0.7,6.01,12.5,9.2,2,7.5,5.19,7.04,0.95,25.2
SF,Barry Lird,9.5,1.7,2.2,0.2,0.6,3.5,4,81.40%,1.3,1.2,108.33%,2.2,2.8,78.57%,0.7,8.22,5.53,7.15,1.5,4.5,6.73,4.4,12.35,25.18
PG,R.J Hampton,5.4,1.5,4.3,2.4,0.4,2.1,2.5,85.71%,0.9,1,96.30%,1.2,1.5,79.07%,0.2,4.6,5.86,10.8,11.79,3.93,4.12,3.49,5.72,25.15
PF,Billy Cunningham,9,3,3,0.1,0.5,3.3,4.2,78.85%,1.8,2,88.24%,1.5,2.1,69.81%,0.1,6.95,8.74,11.02,0.7,3,6.31,4.96,8.61,25.15
SG,Terrence Ross,11.1,0.7,2.4,0.8,0.1,4.1,5,85.48%,1.7,1.6,106.17%,2.4,3.4,70.45%,0.5,9.73,2.54,6.9,5,0.88,7.88,7.13,9.98,25.02
PF,Kyle Kuzma,9.4,3,2.4,0.3,0.5,3.8,5,75.58%,2.8,3.7,76.71%,1,1.4,73.91%,0,6.78,8.63,8.7,2.63,3.13,7.31,6.71,6.16,25.02
C,Hassan Whiteside,4.8,5.1,1.4,0.2,3.1,2,2.5,80.00%,1.8,2,87.50%,0.3,0.5,50.00%,0.6,4.35,12.63,5.6,2,15.5,3.85,4.79,1.19,24.95
SG,JJ Redick,10.7,1.6,2,0.3,0.2,3.8,4.5,85.23%,0.9,1,90.63%,3,3.5,83.76%,0,8.68,5.93,5.66,2.08,2.12,7.4,3.11,14.81,24.9
SF,Kelly Oubre Jr.,9.4,2.1,1.9,0.8,0.2,3.8,4.8,78.38%,1.9,1.9,100.00%,1.9,2.9,64.18%,0.2,7.28,6.83,6.18,6,1.5,7.31,5.94,8.71,24.87
PF,Eric Paschall,6.3,2.7,2.8,0.4,0.9,2.5,2.7,90.48%,1.2,1.2,100.00%,1.3,1.5,83.33%,0.1,5.48,7.7,10.29,3.1,5.85,4.71,3.63,8.96,24.86
C,JaVale McGee,4.5,6.1,2.3,0.3,1.8,1.9,2.2,85.25%,1.8,1.9,92.59%,0.1,0.3,28.57%,0.4,4.12,15.36,9.14,3.21,8.75,3.57,5.17,0.19,24.76
SG,Victor Oladipo,9,1.7,2.2,0.7,0.4,3.6,4.3,83.85%,1.9,2,95.00%,1.7,2.3,76.47%,0.1,7.33,6.16,6.33,4.38,3.5,6.92,7.05,7.74,24.7
SG,Nick Anderson,9.8,1.3,2.4,0.5,0.3,3.6,4.1,89.34%,1.4,1.5,93.33%,2.2,2.6,85.90%,0.3,8.73,4.71,6.9,3.13,2.63,6.92,5.1,11.25,24.68
SG,Keon Johnson,8.6,2.2,2.8,0.9,0.2,3.4,4.5,75.68%,1.6,1.9,84.21%,1.8,2.6,70.59%,0.3,6.59,7.98,8.05,5.63,1.75,6.54,5.26,7.56,24.68
SG,Vince Carter,8.4,1.6,2.7,0.9,0.2,3.5,4,82.54%,2.4,2.7,89.01%,1.1,1.3,84.21%,0.4,7.12,5.8,7.76,5.63,1.75,6.73,8.45,5.36,24.3
PG,Terry Rozier,7.4,1,4.2,2.4,0.2,3,4.4,68.18%,1.5,2,75.00%,1.5,2.4,62.50%,0.2,5.06,4,10.5,12,2,5.77,3.52,5.58,24.21
PF,Obi Toppin,7.9,2.6,2.4,0.5,0.4,3.3,4.7,70.79%,1.9,2.9,65.77%,1.4,1.8,79.10%,0.3,5.73,7.57,8.59,4.14,2.8,6.38,3.95,9.19,24.17
SG,Dominique Wilkins,8.8,2,2.3,0.8,0.3,3.7,5,78.57%,2.8,3.8,72.58%,0.9,1.2,78.57%,0.5,7.22,7.25,6.61,5,2.63,7.12,7.88,4.3,24.01
SF,P.J Dozier,9.6,1.8,2.5,0.3,0.3,3.6,4.2,84.75%,1.6,1.8,88.00%,2,2.4,82.35%,0.2,8.04,6.34,7.29,1.56,2.5,6.87,5.4,9.8,23.9
PG,Collin Sexton,6.8,1.3,3.8,2.1,0.3,2.5,3.1,81.40%,0.8,0.9,92.00%,1.7,2.2,77.05%,0.1,5.33,5.29,9.46,10.36,2.5,4.81,2.36,7.7,23.9
C,Tyson Chandler,4.2,5.8,2.4,0.1,1.7,2.1,2.3,89.74%,2,2,100.00%,0.1,0.3,20.00%,0,3.6,14.5,9.6,1,8.5,4.04,6.25,0.19,23.84
PF,Jerry Lucas,7,3.4,2.9,0.2,0.6,3,3.7,79.07%,2.4,2.8,85.71%,0.6,0.9,66.67%,0.3,5.66,9.78,10.51,1.75,3.75,5.77,6.43,3.33,23.49
C,Channing Frye,5.8,4.5,2.1,0.3,1.3,2.4,3.4,70.49%,1.6,1.6,100.00%,0.8,1.8,45.45%,0.2,4.13,11.25,8.22,3.33,6.67,4.59,4.86,3.61,23.33
SF,Aaron Nesmith,8.4,1.7,2.1,0.3,0.3,3.1,3.4,92.55%,1.1,1.3,84.62%,2,2.1,91.67%,0.3,7.79,5.53,6.83,2.25,2.25,5.96,2.91,13.1,23.3
PG,Jeremy Lin,7.4,1.5,3.9,1.6,0.2,2.7,3.6,73.53%,1,1.4,73.68%,1.7,2.3,73.44%,0.4,5.61,6,9.73,8.04,2.14,5.15,2.3,7.34,23.16
PG,Cole Anthony,6.3,1.9,3.6,2,0.2,2.3,3,77.97%,0.9,1.1,80.95%,1.5,1.9,76.32%,0.1,4.77,7.6,9,9.75,2,4.42,2.15,6.59,23.14
SF,Joe Harris,10.6,1.2,1.8,0.3,0.1,3.8,6,68.18%,0.8,2.4,33.06%,3,3.6,83.72%,0.3,7.31,3.9,5.85,2.25,0.75,7.31,0.83,17.94,23.07
SF,Kevin Martin,8.9,2,1.4,0.2,0.3,3.3,3.8,88.99%,1.2,1.3,89.74%,2.1,2.4,88.57%,0.1,7.7,6.39,4.48,1.55,2.33,6.43,3.38,13.53,22.9
PG,Goran Dragic,6.1,0.7,4,2.6,0,2.3,2.6,87.21%,0.8,0.8,100.00%,1.4,1.8,81.03%,0.1,5.12,2.67,9.92,13.18,0.3,4.37,3.31,6.87,22.87
C,Ivica Zubac,5,4.6,1.7,0.6,1.2,2.4,3,78.67%,2,2.3,86.21%,0.4,0.7,52.94%,0.1,3.9,11.6,6.88,5.6,6,4.54,5.39,1.82,22.86
SG,Duncan Robinson,7.5,1.9,2.4,0.7,0.5,2.9,3.4,85.26%,1.1,1.2,96.97%,1.8,2.2,79.03%,0.1,6.26,6.73,6.88,4.24,4.06,5.56,3.46,8.23,22.72
C,Marvin Bagley III,5,5.7,1.6,0.4,1.1,2.3,3,76.67%,1.9,2.1,90.48%,0.4,0.9,44.44%,0,3.66,14.25,6.4,4,5.5,4.42,5.37,1.69,22.65
SG,Deni Avdija,7.1,1.3,2.3,1.1,0.5,2.7,3.1,84.72%,0.9,1.1,80.77%,1.7,2,86.96%,0,5.78,4.89,6.75,6.79,4.18,5.1,2.3,9,22.4
PF,Aleksej Pokusevski,5.6,3.4,3,0.1,1.1,2,2.7,74.29%,1.1,1.3,84.62%,0.9,1.4,66.67%,0.4,4.47,9.78,10.88,0.88,6.88,3.85,2.91,5,22.31
C,Alvan Adams,5.5,5,1.8,0.1,1.1,2.4,2.8,84.29%,1.8,1.9,93.62%,0.6,0.9,65.22%,0,4.46,12.4,7.36,1.2,5.6,4.54,5.15,3.73,22.22
SF,Bruce Brown,6.9,2.3,2.4,0.6,0.2,2.9,3.3,88.00%,1.9,2,95.65%,1,1.3,75.86%,0.2,5.99,7.49,7.91,4.24,1.63,5.52,5.72,5.18,21.84
SG,Bryn Forbes,7.5,0.7,2.7,1.7,0,2.6,3.2,82.54%,0.6,0.7,85.71%,2,2.5,80.00%,0,5.91,2.54,7.76,10.63,0,5,2.01,9.52,21.68
C,Jarred Vanderbilt,3.9,4.2,2.9,0.4,0.9,1.9,2.2,88.57%,1.9,2.1,90.91%,0.1,0.1,50.00%,0.1,3.35,10.47,11.75,3.75,4.38,3.73,5.33,0.3,21.52
SG,Billy Owens,6.2,1.8,3.3,0.8,0.3,2.7,4,68.60%,1.3,2.3,55.60%,1.4,1.7,83.78%,0.1,4.23,6.53,9.49,5,2.63,5.19,2.8,7.03,21.45
PF,Marcus Morris ,6.5,2.9,1.3,0.5,0.8,2.5,3.4,74.51%,1.7,1.8,92.59%,0.9,1.6,54.17%,0.4,5.15,8.43,4.83,4.67,5,4.87,4.82,3.91,20.84
SG,Sean Elliot,8.2,2.1,1.6,0.4,0.2,3.2,4.1,77.36%,1.7,1.8,94.44%,1.5,2.3,66.67%,0.4,6.55,7.61,4.6,2.5,1.75,6.15,6.27,5.95,20.7
SG,Darius Miles,7.5,1.6,2.2,0.7,0.2,3.2,3.8,85.71%,2.2,2.3,96.88%,1,1.5,68.29%,0,6.21,5.7,6.37,4.24,1.88,6.18,6.7,4.07,20.67
SG,Luguentz Dort,7.9,0.8,2.1,0.6,0.4,2.9,3.4,86.36%,0.8,0.9,88.89%,2.1,2.5,81.82%,0,6.51,2.9,6.04,3.75,3.5,5.58,2.78,10.23,20.64
SF,Kenyon Martin Jr.,6.1,2.3,1.7,0.5,0.3,2.4,2.5,94.83%,1.2,1.2,100.00%,1.2,1.3,90.32%,0,5.6,7.63,5.65,3.91,2.28,4.6,3.67,7.85,20.6
PF,Maurice Harkless,6.3,2.9,2.3,0.4,0.8,2.2,3.4,64.71%,1.2,1.7,69.23%,1,1.7,60.00%,0,3.91,8.43,8.46,3.5,5,4.23,2.6,5,20.56
PF,Georges Niang,5.7,2.4,2.6,0.1,0.5,2.1,2.5,86.49%,0.8,0.9,92.31%,1.3,1.6,83.33%,0,4.73,6.9,9.43,0.58,3.33,4.1,2.31,9.26,20.32
SF,Tony Snell,7.4,1,1.6,0.6,0.2,3,3.5,84.85%,1.1,1.1,93.75%,1.9,2.4,80.60%,0,6.06,3.13,5.11,4.55,1.61,5.77,3.14,11.1,20.24
SG,Chris Morris,6.6,1.3,2.5,0.4,0.3,2.6,2.9,89.39%,1.3,1.3,100.00%,1.3,1.6,86.11%,0.1,5.75,4.23,8.13,3,2.25,5,4.06,8,20.21
PF,Maurice Lucas,5.8,3,1.8,0.5,0.5,2.6,3.1,82.14%,2.2,2.3,92.86%,0.4,0.8,50.00%,0.3,4.95,8.63,6.44,4.38,3.13,4.91,6.29,1.62,20.17
SF,Doug McDermott,7.3,0.9,2.2,0.3,0.4,2.6,3.1,85.06%,0.9,1,92.86%,1.7,2.1,81.36%,0.1,6.06,3.02,7.08,2.41,3.21,5.08,2.69,9.96,19.76
C,Mark Eaton,3.9,6,1.4,0,1.5,1.8,2.4,75.00%,1.8,2.2,81.82%,0,0.2,0.00%,0.3,3.17,15,5.6,0,7.5,3.46,4.6,0,19.66
C,James Donaldson,5.6,4,1.5,0.2,0.6,2.7,3,84.21%,2.7,2.8,95.41%,0,0.2,0.00%,0.4,4.99,10,6,2,3,5.19,8.05,0,19.61
PF,Keith Van Horn,5.9,2.9,2.1,0.1,0.6,2.3,3,76.47%,1.3,1.3,100.00%,1,1.7,63.16%,0.3,4.68,8.34,7.61,0.88,3.75,4.42,4.06,5.26,19.5
SF,Joe Smith,4.5,2.7,2.4,0.4,0.6,1.8,2.1,86.84%,1.3,1.3,100.00%,0.6,0.8,66.67%,0.3,4.08,8.85,7.94,2.92,4.58,3.53,3.99,2.65,19.27
SF,Dean Wade,5.3,2.5,1.6,0.3,0.7,2.1,2.4,87.23%,1,1.1,90.48%,1.1,1.3,84.62%,0,4.41,7.96,5.2,2.25,5.25,3.94,2.69,6.65,19.18
SG,Dell Curry,7.5,1.3,2.4,0.3,0.2,2.7,3.4,80.39%,0.7,0.8,86.96%,2.1,2.6,78.48%,0,5.78,4.71,6.9,2.08,1.75,5.26,1.81,9.65,18.97
C,Robert Williams,5.4,3.8,1.3,0.1,1.1,2.7,3.3,82.05%,2.7,3.3,81.82%,0,0,0.00%,0.1,4.35,9.5,5.2,1,5.5,5.19,6.9,0,18.82
PF,Brandon Clarke,6.5,1.8,1.6,0.2,0.3,2.4,3,79.49%,0.7,0.8,90.00%,1.7,2.2,75.86%,0.1,5.06,5.09,5.86,2.02,1.92,4.59,1.95,10.7,18.59
SF,Bruce Bowen,4.9,1.7,2.2,0.7,0.5,1.7,2.3,75.56%,0.2,0.4,50.00%,1.5,1.9,76.32%,0,3.53,5.53,7.15,5.25,3.75,3.27,0.31,8.18,18.48
SG,Stanley Johnson,6.9,1.1,1.8,0.4,0.3,2.6,3.2,80.00%,1,1.3,77.14%,1.6,2,81.82%,0.1,5.44,3.88,5.24,2.46,2.81,4.95,2.32,7.83,17.46
SG,Eddie Johnson,7.4,0.6,1.6,0.4,0.1,2.6,3.4,76.60%,0.7,1,71.43%,1.9,2.4,78.79%,0.1,5.56,1.86,5.11,2.68,1.07,4.95,1.59,10.45,16.63
